input,label,set
train/train_x/000_image.png,train/train_y/000_masks.zip,training
train/train_x/001_image.jpg,train/train_y/001_masks.zip,training
train/train_x/002_image.jpg,train/train_y/002_masks.zip,training
train/train_x/003_image.jpg,train/train_y/003_masks.zip,training
train/train_x/004_image.jpg,train/train_y/004_masks.zip,training
train/train_x/005_image.jpg,train/train_y/005_masks.zip,training
train/train_x/006_image.jpg,train/train_y/006_masks.zip,training
train/train_x/007_image.jpg,train/train_y/007_masks.zip,training
train/train_x/008_image.jpg,train/train_y/008_masks.zip,training
train/train_x/009_image.jpg,train/train_y/009_masks.zip,training
train/train_x/010_image.jpg,train/train_y/010_masks.zip,training
train/train_x/011_image.jpg,train/train_y/011_masks.zip,training
train/train_x/012_image.jpg,train/train_y/012_masks.zip,training
train/train_x/013_image.jpg,train/train_y/013_masks.zip,training
train/train_x/014_image.png,train/train_y/014_masks.zip,training
train/train_x/015_image.png,train/train_y/015_masks.zip,training
train/train_x/016_image.png,train/train_y/016_masks.zip,training
train/train_x/017_image.png,train/train_y/017_masks.zip,training
train/train_x/018_image.png,train/train_y/018_masks.zip,training
train/train_x/019_image.png,train/train_y/019_masks.zip,training
train/train_x/020_image.png,train/train_y/020_masks.zip,training
train/train_x/021_image.png,train/train_y/021_masks.zip,training
train/train_x/022_image.png,train/train_y/022_masks.zip,training
train/train_x/023_image.png,train/train_y/023_masks.zip,training
train/train_x/024_image.png,train/train_y/024_masks.zip,training
train/train_x/025_image.png,train/train_y/025_masks.zip,training
test/test_x/000_image.png,test/test_y/000_masks.zip,testing
test/test_x/001_image.png,test/test_y/001_masks.zip,testing
test/test_x/002_image.png,test/test_y/002_masks.zip,testing
test/test_x/003_image.png,test/test_y/003_masks.zip,testing
test/test_x/004_image.png,test/test_y/004_masks.zip,testing
test/test_x/005_image.png,test/test_y/005_masks.zip,testing
test/test_x/006_image.png,test/test_y/006_masks.zip,testing
test/test_x/007_image.png,test/test_y/007_masks.zip,testing
test/test_x/008_image.png,test/test_y/008_masks.zip,testing
test/test_x/009_image.png,test/test_y/009_masks.zip,testing
test/test_x/010_image.png,test/test_y/010_masks.zip,testing
test/test_x/011_image.png,test/test_y/011_masks.zip,testing
test/test_x/012_image.png,test/test_y/012_masks.zip,testing
test/test_x/013_image.png,test/test_y/013_masks.zip,testing
test/test_x/014_image.png,test/test_y/014_masks.zip,testing
test/test_x/015_image.png,test/test_y/015_masks.zip,testing
test/test_x/016_image.png,test/test_y/016_masks.zip,testing
